"CD_GEOCMU";"OBJECTID";"NM_MUNICIP";"Municipio";"Area_km2";"Estado";"Area";"reg_saude"
"4210100";153;"MAFRA";"Mafra";"1403.86";"SC";"1403863795.58";"Planalto Norte"
"4210209";154;"MAJOR GERCINO";"Major Gercino";"304.39";"SC";304392611997;"Grande Florianópolis"
"4210308";155;"MAJOR VIEIRA";"Major Vieira";"523.85";"SC";523847514766;"Planalto Norte"
"4210407";156;"MARACAJÁ";"Maracajá ";"62.77";"SC";62774745377;"Extremo Sul Catarinense"
"4210506";157;"MARAVILHA";"Maravilha";"169.76";"SC";"169764264.8";"Extremo Oeste"
"4210555";158;"MAREMA";"Marema";"103.11";"SC";103111118494;"Xanxerê"
"4210605";159;"MASSARANDUBA";"Massaranduba";"374.21";"SC";374213411711;"Vale do Itapocu"
"4210704";160;"MATOS COSTA";"Matos Costa";"434.36";"SC";"434362282.52";"Alto Vale do Rio do Peixe"
"4210803";161;"MELEIRO";"Meleiro";"186.04";"SC";186039008502;"Extremo Sul Catarinense"
"4210852";162;"MIRIM DOCE";"Mirim Doce";"339.03";"SC";339030231531;"Alto Vale do Itajaí"
"4210902";163;"MODELO";"Modelo";"92.65";"SC";92646833956;"Extremo Oeste"
"4211009";164;"MONDAÍ";"Mondaí";"201.36";"SC";201361700994;"Extremo Oeste"
"4211058";165;"MONTE CARLO";"Monte Carlo";192;"SC";191999525894;"Meio Oeste"
"4211108";166;"MONTE CASTELO";"Monte Castelo";"556.91";"SC";556913551158;"Planalto Norte"
"4211207";167;"MORRO DA FUMAÇA";"Morro da Fumaça";"82.97";"SC";82974283677;"Carbonífera"
"4211256";168;"MORRO GRANDE";"Morro Grande";"259.67";"SC";259665925195;"Extremo Sul Catarinense"
"4211306";169;"NAVEGANTES";"Navegantes";"111.59";"SC";111591798765;"Foz do Rio Itajaí"
"4211405";170;"NOVA ERECHIM";"Nova Erechim";"64.72";"SC";64720664021;"Oeste"
"4211454";171;"NOVA ITABERABA";"Nova Itaberaba";"136.76";"SC";136755709691;"Oeste"
"4211504";172;"NOVA TRENTO";"Nova Trento";"402.72";"SC";402717090491;"Grande Florianópolis"
"4211603";173;"NOVA VENEZA";"Nova Veneza";"293.94";"SC";293937491423;"Carbonífera"
"4211652";174;"NOVO HORIZONTE";"Novo Horizonte";"151.45";"SC";151449098287;"Xanxerê"
"4216909";175;"SÃO LOURENÇO DO OESTE";"São Lourenço do Oeste";"356.55";"SC";356552168352;"Xanxerê"
"4211702";176;"ORLEANS";"Orleans";"549.31";"SC";549307281305;"Carbonífera"
"4211751";177;"OTACÍLIO COSTA";"Otacílio Costa";"844.63";"SC";844634490677;"Serra Catarinense"
"4211801";178;"OURO";"Ouro";"213.31";"SC";213306314087;"Meio Oeste"
"4211850";179;"OURO VERDE";"Ouro Verde";"188.95";"SC";188949824928;"Xanxerê"
"4211876";180;"PAIAL";"Paial";"85.31";"SC";"85311708.72";"Oeste"
"4211892";181;"PAINEL";"Painel";"741.27";"SC";741270730575;"Serra Catarinense"
"4211900";182;"PALHOÇA";"Palhoça";"326.25";"SC";326251844309;"Grande Florianópolis"
"4212007";183;"PALMA SOLA";"Palma Sola";"330.91";"SC";330913418607;"Extremo Oeste"
"4212056";184;"PALMEIRA";"Palmeira";"290.29";"SC";290293706408;"Serra Catarinense"
"4212106";185;"PALMITOS";"Palmitos";"352.59";"SC";352586008592;"Oeste"
"4212205";186;"PAPANDUVA";"Papanduva";"763.32";"SC";763321099002;"Planalto Norte"
"4212239";187;"PARAÍSO";"Paraíso";"179.19";"SC";179186374508;"Extremo Oeste"
"4212254";188;"PASSO DE TORRES";"Passo de Torres";"96.33";"SC";96333031037;"Extremo Sul Catarinense"
"4212270";189;"PASSOS MAIA";"Passos Maia";"612.63";"SC";612625973691;"Xanxerê"
"4212304";190;"PAULO LOPES";"Paulo Lopes";"449.6";"SC";449599181155;"Grande Florianópolis"
"4212403";191;"PEDRAS GRANDES";"Pedras Grandes";"159.09";"SC";159093111818;"Laguna"
"4212502";192;"PENHA";"Penha";"58.63";"SC";58629144458;"Foz do Rio Itajaí"
"4212601";193;"PERITIBA";"Peritiba";"96.38";"SC";96375867856;"Alto Uruguai Catarinense"
"4212650";194;"PESCARIA BRAVA";"Pescaria Brava";"111.41";"SC";111411763663;"Laguna"
"4212700";195;"PETROLÂNDIA";"Petrolândia";"305.85";"SC";305848108581;"Alto Vale do Itajaí"
"4212809";196;"BALNEÁRIO PIÇARRAS";"Balneário Piçaras";"99.16";"SC";99164818428;"Foz do Rio Itajaí"
"4212908";197;"PINHALZINHO";"Pinhalzinho";"128.43";"SC";128426133251;"Oeste"
"4213005";198;"PINHEIRO PRETO";"Pinheiro Preto";"61.95";"SC";61948045471;"Alto Vale do Rio do Peixe"
"4213104";199;"PIRATUBA";"Piratuba";"144.86";"SC";144861009811;"Alto Uruguai Catarinense"
"4213153";200;"PLANALTO ALEGRE";"Planalto Alegre";"62.71";"SC";62714518413;"Oeste"
"4213203";201;"POMERODE";"Pomerode";"215.2";"SC";215198585473;"Médio Vale do Itajaí"
"4213302";202;"PONTE ALTA";"Ponte Alta";"572.08";"SC";572075892141;"Serra Catarinense"
"4213351";203;"PONTE ALTA DO NORTE";"Ponte Alta do Norte";"399.74";"SC";399739144792;"Alto Vale do Rio do Peixe"
"4213401";204;"PONTE SERRADA";"Ponte Serrada";"563.07";"SC";563065045589;"Xanxerê"
"4213500";205;"PORTO BELO";"Porto Belo";"94.13";"SC";94125315278;"Foz do Rio Itajaí"
"4213609";206;"PORTO UNIÃO";"Porto União";"848.65";"SC";"848650421.91";"Planalto Norte"
"4213708";207;"POUSO REDONDO";"Pouso Redondo";"361.8";"SC";361797442993;"Alto Vale do Itajaí"
"4213807";208;"PRAIA GRANDE";"Praia Grande";"286.6";"SC";286599506936;"Extremo Sul Catarinense"
"4214003";209;"PRESIDENTE GETÚLIO";"Presidente Getúlio";"294.99";"SC";294988709812;"Alto Vale do Itajaí"
"4214102";210;"PRESIDENTE NEREU";"Presidente Nereu";"224.59";"SC";224587658953;"Alto Vale do Itajaí"
"4214151";211;"PRINCESA";"Princesa";"85.52";"SC";85516848584;"Extremo Oeste"
"4214201";212;"QUILOMBO";"Quilombo";"279.85";"SC";279846323555;"Oeste"
"4214300";213;"RANCHO QUEIMADO";"Rancho Queimado";"288.28";"SC";288282468363;"Grande Florianópolis"
"4214409";214;"RIO DAS ANTAS";"Rio das Antas";"318.37";"SC";318367545109;"Alto Vale do Rio do Peixe"
"4214508";215;"RIO DO CAMPO";"Rio do Campo";"502.78";"SC";502782927472;"Alto Vale do Itajaí"
"4214607";216;"RIO DO OESTE";"Rio do Oeste";"246.2";"SC";246198345229;"Alto Vale do Itajaí"
"4214706";217;"RIO DOS CEDROS";"Rio dos Cedros";"554.4";"SC";554401588608;"Médio Vale do Itajaí"
"4214805";218;"RIO DO SUL";"Rio do Sul";"260.8";"SC";260801062318;"Alto Vale do Itajaí"
"4214904";219;"RIO FORTUNA";"Rio Fortuna";"301.74";"SC";"301736031.93";"Laguna"
"4215000";220;"RIO NEGRINHO";"Rio Negrinho";"907.17";"SC";907169047457;"Planalto Norte"
"4215059";221;"RIO RUFINO";"Rio Rufino";"282.37";"SC";282374245954;"Serra Catarinense"
"4215075";222;"RIQUEZA";"Riqueza";"190.21";"SC";190213117597;"Oeste"
"4215109";223;"RODEIO";"Rodeio";"127.99";"SC";127994001213;"Médio Vale do Itajaí"
"4215208";224;"ROMELÂNDIA";"Romelândia";"221.67";"SC";221674084056;"Extremo Oeste"
"4215307";225;"SALETE";"Salete";"180.39";"SC";180390801121;"Alto Vale do Itajaí"
"4215356";226;"SALTINHO";"Saltinho";"156.41";"SC";156414362376;"Extremo Oeste"
"4215406";227;"SALTO VELOSO";"Salto Veloso";"105.58";"SC";105579848405;"Alto Vale do Rio do Peixe"
"4215455";228;"SANGÃO";"Sangão";"82.69";"SC";82690829353;"Laguna"
"4215505";229;"SANTA CECÍLIA";"Santa Cecília";"1150.31";"SC";"1150309990.36";"Alto Vale do Rio do Peixe"
"4215554";230;"SANTA HELENA";"Santa Helena";"80.96";"SC";80962117597;"Extremo Oeste"
"4215604";231;"SANTA ROSA DE LIMA";"Santa Rosa de Lima";"202.58";"SC";202575536127;"Laguna"
"4215653";232;"SANTA ROSA DO SUL";"Santa Rosa do Sul";"151.55";"SC";151547979809;"Extremo Sul Catarinense"
"4215679";233;"SANTA TEREZINHA";"Santa Terezinha";"718.26";"SC";718255789392;"Alto Vale do Itajaí"
"4215687";234;"SANTA TEREZINHA DO PROGRESSO";"Santa Terezinha do Progr*";"119.05";"SC";119045176378;"Extremo Oeste"
"4215695";235;"SANTIAGO DO SUL";"Santiago do Sul";"72.96";"SC";72961983582;"Oeste"
"4215703";236;"SANTO AMARO DA IMPERATRIZ";"Santo Amaro da Imperatriz";"345.22";"SC";345218456039;"Grande Florianópolis"
"4215752";237;"SÃO BERNARDINO";"São Bernardino";"149.24";"SC";"149237630.61";"Xanxerê"
"4215802";238;"SÃO BENTO DO SUL";"São Bento do Sul";"495.65";"SC";495652916837;"Planalto Norte"
"4215901";239;"SÃO BONIFÁCIO";"São Bonifácio";"460.9";"SC";460900697159;"Grande Florianópolis"
"4216008";240;"SÃO CARLOS";"São Carlos";"158.21";"SC";158207032235;"Oeste"
"4216057";241;"SÃO CRISTOVÃO DO SUL";"São Cristóvão do Sul";"343.72";"SC";343722052984;"Alto Vale do Rio do Peixe"
"4216107";242;"SÃO DOMINGOS";"São Domingos";"367.87";"SC";367867094706;"Xanxerê"
"4216206";243;"SÃO FRANCISCO DO SUL";"São Francisco do Sul";"380.6";"SC";380600253576;"Nordeste"
"4216255";244;"SÃO JOÃO DO OESTE";"São João do Oeste";"163.56";"SC";163562863619;"Extremo Oeste"
"4216305";245;"SÃO JOÃO BATISTA";"São João Batista";"199.53";"SC";199531070902;"Grande Florianópolis"
"4216354";246;"SÃO JOÃO DO ITAPERIÚ";"São João do Itaperiú";"151.76";"SC";151761406001;"Vale do Itapocu"
"4216404";247;"SÃO JOÃO DO SUL";"São João do Sul";"180.41";"SC";180408576918;"Extremo Sul Catarinense"
"4216503";248;"SÃO JOAQUIM";"São Joaquim";"1882.17";"SC";"1882172596.61";"Serra Catarinense"
"4216602";249;"SÃO JOSÉ";"São José";"113.42";"SC";113417255566;"Grande Florianópolis"
"4216701";250;"SÃO JOSÉ DO CEDRO";"São José do Cedro";"280.75";"SC";280750024861;"Extremo Oeste"
"4216800";251;"SÃO JOSÉ DO CERRITO";"São José do Cerrito";"945.92";"SC";945920682773;"Serra Catarinense"
"4217006";252;"SÃO LUDGERO";"São Ludgero";"107.55";"SC";107551545158;"Laguna"
"4217105";253;"SÃO MARTINHO";"São Martinho";"224.45";"SC";224447346293;"Laguna"
"4217154";254;"SÃO MIGUEL DA BOA VISTA";"São Miguel da Boa Vista";"71.56";"SC";71564874239;"Extremo Oeste"
"4217204";255;"SÃO MIGUEL d'OESTE";"São Miguel do Oeste";"233.63";"SC";233629445713;"Extremo Oeste"
"4217253";256;"SÃO PEDRO DE ALCÂNTARA";"São Pedro de Alcântara";"139.77";"SC";139766674308;"Grande Florianópolis"
"4217303";257;"SAUDADES";"Saudades";"205.46";"SC";205459054655;"Extremo Oeste"
"4217402";258;"SCHROEDER";"Schroeder";"164.12";"SC";164118119256;"Vale do Itapocu"
"4217501";259;"SEARA";"Seara";"311.53";"SC";311530207646;"Alto Uruguai Catarinense"
"4217550";260;"SERRA ALTA";"Serra Alta";"90.61";"SC";90607579707;"Oeste"
"4217600";261;"SIDERÓPOLIS";"Siderópolis";"261.54";"SC";261535582021;"Carbonífera"
"4217709";262;"SOMBRIO";"Sombrio";"142.48";"SC";142481997814;"Extremo Sul Catarinense"
"4217758";263;"SUL BRASIL";"Sul Brasil";"113.07";"SC";113073918742;"Oeste"
"4217808";264;"TAIÓ";"Taió";"691.94";"SC";691943859185;"Alto Vale do Itajaí"
"4217907";265;"TANGARÁ";"Tangará ";"386.1";"SC";386103085503;"Alto Vale do Rio do Peixe"
"4217956";266;"TIGRINHOS";"Tigrinhos";"57.43";"SC";57428938626;"Extremo Oeste"
"4218004";267;"TIJUCAS";"Tijucas";"279.77";"SC";279770019119;"Grande Florianópolis"
"4218103";268;"TIMBÉ DO SUL";"Timbé do Sul";"326.39";"SC";326392999765;"Extremo Sul Catarinense"
"4218202";269;"TIMBÓ";"Timbó";"127.35";"SC";127351615048;"Médio Vale do Itajaí"
"4218251";270;"TIMBÓ GRANDE";"Timbó Grande";"594.85";"SC";"594849650.54";"Alto Vale do Rio do Peixe"
"4218301";271;"TRÊS BARRAS";"Três Barras";"438.07";"SC";438071254441;"Planalto Norte"
"4218350";272;"TREVISO";"Treviso";"156.37";"SC";156367440381;"Carbonífera"
"4218400";273;"TREZE DE MAIO";"Treze de Maio";"162.06";"SC";162064026808;"Laguna"
"4218509";274;"TREZE TÍLIAS";"Treze Tilhas";"183.86";"SC";183856310536;"Meio Oeste"
"4218608";275;"TROMBUDO CENTRAL";"Trombudo Central";"108.72";"SC";108715657602;"Alto Vale do Itajaí"
"4218707";276;"TUBARÃO";"Tubarão";"300.54";"SC";300538723801;"Laguna"
"4218756";277;"TUNÁPOLIS";"Tunápolis";"132.94";"SC";132943982583;"Extremo Oeste"
"4218806";278;"TURVO";"Turvo";"233.87";"SC";233865165899;"Extremo Sul Catarinense"
"4218855";279;"UNIÃO DO OESTE";"União do Oeste";"93.21";"SC";93213455913;"Oeste"
